id met_invertebrate met_primary_producer met_detritus met_ectotherm_vertebrate met_other met_heterotrophic_bacteria met_endotherm_vertebrate mov_walking mov_swimming mov_sessile mov_other_nonliving mov_flying log_mass mass_missing
96 0 0 0 1 0 0 0 0 1 0 0 0 2.7597433675977254 0
97 1 0 0 0 0 0 0 1 0 0 0 0 -3.3949558244125324 0
98 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
99 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
100 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
101 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
102 0 0 0 1 0 0 0 0 1 0 0 0 2.457704675392001 0
103 0 0 0 1 0 0 0 0 1 0 0 0 3.1512904995116715 0
104 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
105 0 0 0 1 0 0 0 0 1 0 0 0 2.5481205883614724 0
106 0 0 0 1 0 0 0 0 1 0 0 0 2.53764282386375 0
107 0 0 0 1 0 0 0 0 1 0 0 0 1.763518533850082 0
108 1 0 0 0 0 0 0 0 1 0 0 0 -4.027334407733889 0
109 1 0 0 0 0 0 0 0 1 0 0 0 -4.027334407733889 0
110 1 0 0 0 0 0 0 0 1 0 0 0 -4.027334407733889 0
111 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
112 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
113 0 0 0 1 0 0 0 0 1 0 0 0 2.998969500453003 0
114 1 0 0 0 0 0 0 0 1 0 0 0 -4.396855627379818 0
115 0 0 0 1 0 0 0 0 1 0 0 0 2.4089502712654145 0
116 0 0 0 1 0 0 0 0 1 0 0 0 0.44734805626191365 0
117 0 0 0 1 0 0 0 0 1 0 0 0 2.721398375521505 0
118 0 0 0 1 0 0 0 0 1 0 0 0 0.747419988621521 0
119 1 0 0 0 0 0 0 0 1 0 0 0 -0.19691001285730864 0
120 1 0 0 0 0 0 0 0 1 0 0 0 -0.9902605642215714 0
121 1 0 0 0 0 0 0 0 1 0 0 0 0.7401654307102279 0
122 0 0 0 1 0 0 0 0 1 0 0 0 2.344902908055406 0
123 1 0 0 0 0 0 0 0 1 0 0 0 -2.1673501743621824 0
124 0 0 0 1 0 0 0 0 1 0 0 0 2.6088629880844714 0
125 0 0 0 1 0 0 0 0 1 0 0 0 2.147033851350356 0
126 0 0 0 1 0 0 0 0 1 0 0 0 2.7118769107649534 0
