id met_invertebrate met_primary_producer met_detritus met_heterotrophic_bacteria met_ectotherm_vertebrate met_endotherm_vertebrate mov_swimming mov_other mov_other_nonliving mov_sessile mov_walking log_mass mass_missing
126 0 0 0 0 1 0 1 0 0 0 0 3.469822015978163 0
127 1 0 0 0 0 0 0 0 0 0 1 0.47974801476975004 0
128 0 0 0 0 1 0 1 0 0 0 0 2.381349771059741 0
129 0 0 0 0 1 0 1 0 0 0 0 1.372175286115064 0
130 0 0 0 0 0 1 0 0 0 0 1 2.027512692448811 0
131 1 0 0 0 0 0 1 0 0 0 0 -0.03063068826647249 0
132 0 0 0 0 1 0 1 0 0 0 0 4.08246222116863 0
133 0 1 0 0 0 0 0 0 0 1 0 2.5722673501348168 0
134 1 0 0 0 0 0 0 0 0 0 1 -0.8290638913909207 0
135 1 0 0 0 0 0 1 0 0 0 0 -0.548643467837311 0
136 1 0 0 0 0 0 0 0 0 0 1 -0.1969117815789127 0
137 0 0 0 0 1 0 1 0 0 0 0 0.7315887651867387 0
138 1 0 0 0 0 0 0 1 0 0 1 -1.6647427435654683 0
139 1 0 0 0 0 0 1 0 0 0 0 -2.523516178085536 0
140 1 0 0 0 0 0 1 0 0 0 0 -2.4668509871939754 0
141 1 0 0 0 0 0 0 0 0 0 1 -1.2949577781537749 0
142 0 0 0 0 1 0 1 0 0 0 0 2.3998467127129226 0
143 1 0 0 0 0 0 0 1 0 0 1 -1.2949577781537747 0
144 1 0 0 0 0 0 0 0 0 0 1 -0.5730172890027532 0
145 1 0 0 0 0 0 0 0 0 1 0 0.17289469775217617 0
146 0 1 0 0 0 0 0 0 0 1 0 -0.5503519274144819 0
147 1 0 0 0 0 0 0 0 0 0 1 1.2709349128748582 0
148 1 0 0 0 0 0 0 0 0 0 1 -1.9271254031890113 0
149 0 0 0 1 0 0 1 0 0 0 0 -20.167491087293765 0
150 1 0 0 0 0 0 0 0 0 1 0 -1.2650482339131128 0
151 1 0 0 0 0 0 0 0 0 1 0 -1.4984614973500248 0
152 1 0 0 0 0 0 0 0 0 1 0 1.2709349128748582 0
153 1 0 0 0 0 0 0 0 0 1 0 -0.8290638913909207 0
154 1 0 0 0 0 0 1 0 0 0 0 -4.600326278518962 0
155 1 0 0 0 0 0 0 0 0 1 0 -2.559279782683096 0
156 1 0 0 0 0 0 0 0 0 1 0 0.6387687128978482 0
157 1 0 0 0 0 0 0 0 0 1 0 0.8050452557227555 0
158 1 0 0 0 0 0 0 0 0 1 0 0.2870399275172423 0
159 1 0 0 0 0 0 0 0 0 1 0 0.8050452557227555 0
160 1 0 0 0 0 0 0 0 0 1 0 0.8050452557227555 0
161 1 0 0 0 0 0 0 0 0 1 0 -2.9290759685238497 0
162 1 0 0 0 0 0 0 0 0 1 0 -2.296906464424819 0
