,food.web,eco.type,node,genus,taxonomy.level,mov.type,met.type,new.mass,species.other,genus.other,met.mov.same,met.same,mov.same,met.other,mov.other
112,Chilean Intertidal El Quisco,marine,ectocarpus silicosus_NA,ectocarpus,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
113,Chilean Intertidal El Quisco,marine,enteromorpha compressa_NA,enteromorpha,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
114,Chilean Intertidal El Quisco,marine,gelidium rex_NA,gelidium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
115,Chilean Intertidal El Quisco,marine,Gelidium chilensis_NA,Gelidium,genus,sessile,primary producer,0.00021171432392857138,0,1,0,0,0,0,0
116,Chilean Intertidal El Quisco,marine,glossophora kunthii_NA,glossophora,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
117,Chilean Intertidal El Quisco,marine,grateloupia _NA,grateloupia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
118,Chilean Intertidal El Quisco,marine,gymnogongrus furcellatus_NA,gymnogongrus,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
119,Chilean Intertidal El Quisco,marine,halopteris funicularis_NA,halopteris,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
120,Chilean Intertidal El Quisco,marine,hildenbrandia lecanelieri_NA,hildenbrandia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
121,Chilean Intertidal El Quisco,marine,laurencia chilensis_NA,laurencia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
122,Chilean Intertidal El Quisco,marine,lessonia nigrescens_NA,lessonia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
123,Chilean Intertidal El Quisco,marine,mazzaella laminarioides_NA,mazzaella,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
124,Chilean Intertidal El Quisco,marine,montemaria horridula_NA,montemaria,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
125,Chilean Intertidal El Quisco,marine,lithothamnion spp._NA,lithothamnion,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
126,Chilean Intertidal El Quisco,marine,Nothogenia fastigiata_NA,Nothogenia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
127,Chilean Intertidal El Quisco,marine,petalonia fascia_NA,petalonia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
128,Chilean Intertidal El Quisco,marine,petroglossum spp._NA,petroglossum,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
129,Chilean Intertidal El Quisco,marine,peysonella spp._NA,peysonella,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
130,Chilean Intertidal El Quisco,marine,plocamium cartilageneum_NA,plocamium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
131,Chilean Intertidal El Quisco,marine,polysiphonia_spp_NA,polysiphonia_spp_NA,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
132,Chilean Intertidal El Quisco,marine,porphyra_spp_NA,porphyra_spp_NA,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
133,Chilean Intertidal El Quisco,marine,Prionitis decipiens_NA,Prionitis,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
134,Chilean Intertidal El Quisco,marine,ralfsia spp._NA,ralfsia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
135,Chilean Intertidal El Quisco,marine,rama novazelandensis_NA,rama,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
136,Chilean Intertidal El Quisco,marine,rhizoclonium cilindricum_NA,rhizoclonium,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
137,Chilean Intertidal El Quisco,marine,Rhodymenia skottsbergii_NA,Rhodymenia,genus,sessile,primary producer,0.00022799999999999996,0,1,0,0,0,0,0
138,Chilean Intertidal El Quisco,marine,Sarcothalia crispata_NA,Sarcothalia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
139,Chilean Intertidal El Quisco,marine,schottera nicaensis_NA,schottera,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
140,Chilean Intertidal El Quisco,marine,schyzimenia doryophora_NA,schyzimenia,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
141,Chilean Intertidal El Quisco,marine,scythosiphon lomentaria_NA,scythosiphon,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
142,Chilean Intertidal El Quisco,marine,Trematocarpus dichotomus_NA,Trematocarpus,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
143,Chilean Intertidal El Quisco,marine,ulva rigida_NA,ulva,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
144,Chilean Intertidal El Quisco,marine,ulvella spp._NA,ulvella,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
145,Chilean Intertidal El Quisco,marine,trimusculus peruvianus_adults,trimusculus,species,walking,invertebrate,11.21801142857143,0,0,1,0,0,0,0
146,Chilean Intertidal Las Cruces,marine,Sarcothalia crispata_NA,Sarcothalia,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
147,Chilean Intertidal Las Cruces,marine,adenocystis utricularis_NA,adenocystis,species,sessile,primary producer,1e-05,0,0,0,1,0,0,0
148,Chilean Intertidal Las Cruces,marine,ahnfeltiopsis spp._NA,ahnfeltiopsis,genus,sessile,primary producer,1e-05,0,0,0,1,0,0,0
