id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate met_primary_producer met_detritus mov_flying mov_walking mov_other mov_swimming mov_sessile mov_other_nonliving log_mass mass_missing
102 0 1 0 0 0 0 1 0 0 0 0 -5.286509456906058 0
103 1 0 0 0 0 1 0 0 0 0 0 2.606381365110605 0
104 0 1 0 0 0 0 0 1 0 0 0 -3.916560341542164 1
105 0 1 0 0 0 0 0 1 0 0 0 -5.377785977033705 0
106 0 1 0 0 0 0 0 1 0 0 0 -5.209011524911184 0
107 0 1 0 0 0 0 0 1 0 0 0 -3.916560341542164 1
108 0 0 0 1 0 0 0 0 0 1 0 1.3764150684055454 1
109 0 0 0 1 0 0 0 0 0 1 0 1.3764150684055454 1
110 0 1 0 0 0 0 0 0 1 0 0 -4.440093374963888 0
111 0 1 0 0 0 0 0 0 1 0 0 -4.440093374963888 0
112 0 0 0 1 0 0 0 0 0 1 0 -7.274905478918531 1
113 0 0 0 0 1 0 0 0 0 0 1 -7.274905478918531 1
114 0 1 0 0 0 0 0 0 1 0 0 0.6766065435976986 0
115 0 1 0 0 0 0 0 1 0 0 0 -2.9430951486635273 0
116 0 1 0 0 0 0 0 0 1 0 0 -4.442492798094342 0
117 0 1 0 0 0 0 1 0 0 0 0 -3.939869000468955 0
118 0 1 0 0 0 0 0 1 0 0 0 -6.97061622231479 0
119 0 1 0 0 0 0 0 1 0 0 0 -6.202040356262804 0
120 0 1 0 0 0 0 0 1 0 0 0 -6.920818753952375 0
121 0 0 0 1 0 0 0 0 0 1 0 1.3764150684055454 1
122 0 1 0 0 0 0 0 0 0 1 0 0.03471611652126412 1
