,0
Coleoptera sp.,family+
Phthiracarus globosus,species
Epidamaeus setiger,species
Phthiracarus ferrugineus,species
Galumna lanceata,species
Glomeris sp. (juv) {m},genus
Tomocerus baudoti,species
Lepidocyrtus sp. (juv),genus
Ena montana,species
Ena montana (juv),species
Monachoides incarnatus,species
Trichia striolata (juv),species
Pantelozetes paolii,species
Steganacarus herculeanus,species
Plectophoreus fischeri,species
Geophilus flavus (juv),species
Lithobius sp1 {l},genus
Trogulus sp. (juv),genus
Sminthuridae (juv).,family+
Scutigerella immaculata {s},species
Arion silvaticus,species
Arion ater,species
Lithobius tricuspis,species
Lumbricus sp. (juv),genus
Lumbricidae sp. (juv),family+
Anatis ocellata,species
Limax cinereoniger,species
Othius subuliformis,species
Harpactea lepida (juv) small,species
Diplostyla concolor,species
Robertus sp.,genus
Pocadicnemis juncea,species
Athous subfuscus (juv) {m},species
Hymenaphorura sp. (juv),genus
Lysigamasus cf conus,species
Macrocheles dentatus,species
Uropoda minima,species
Uropoda minima (juv),species
Suctobelba trigona,species
Lysigamasus cf arcuatus,species
Pergamasinae (juv) {s},family+
Chamobates cuspidatus,species
Curculionidae sp.,family+
Lathrididae sp.,family+
Monachoides incarnatus (juv),species
Otioryhnchinae sp.,family+
Rhynchaenus fagi,species
Molops elatus,species
Lithobius melanops,species
Lithobius calcaratus,species
Lithobius calcaratus (juv),species
Harpactea lepida large,species
Campodea sp. {l},genus
Tenuiphantes mengei,species
Salticidae sp. (juv),family+
Aporrectodea rosea,species
Aporrectodea rosea (juv),species
Protaphorura quadriocellata,species
Polydesmus denticulatus,species
Porcellio conspersum,species
Uropoda cf splendida (juv),species
Eusphalerum sp.,genus
Nothrus palustris,species
Trichia striolata,species
Steganacarus magnus,species
Phthiracarus italicus,species
Nitidulidae sp.,family+
Lithobius sp3 {xs},genus
Trimium brevicorne,species
Lithobius lapidicola,species
Lithobius subtilis,species
Acrotrichis sp.,genus
Velleius sp. (juv),genus
Clubionidae (juv),family+
Vulgarogamasus kraepelini (juv),species
Epicrius cf. spinituberculatus,species
Lysigamasus digitulus,species
Pergamasus sp. (juv) {m},genus
Octolasion tyrtaeum (juv) {xl},species
Ceratophysella sp.,genus
Aporrectodea sp. (juv) {xxl},genus
Lumbricus rubellus (juv) {xxl},species
Athous vittatus (juv),species
Athous zebei (juv) {l},species
Rhodacarus agrestis (juv),species
Damaeus riparius,species
Phthiracarus crinitus,species
Geotrupidae sp.,family+
Folsomia sp. (juv),genus
Jugatala angulata,species
Ophidiotrichus tectus,species
Otiorhynchus sp.,genus
Phyllobius pyri,species
Sitona sp.,genus
Abax ovalis (juv),species
Schendyla nemorensis  (juv),species
Geophilus electricus,species
Pterostichus longicollis,species
Othius punctulatus,species
Diplocephalus latifrons,species
Agonum sp. (juv),genus
Robertus sp. (juv) {l},genus
Pardosa lugubris,species
Aegopinella pura,species
Agriotes aterrimus (juv),species
Scolopendrella cf. subnuda {s},species
Discus rotundatus,species
Allaiulus nitidus (juv) {l},species
Aporectodea longa,species
Isotoma cf viridis (juv),species
Trichoniscus pusillus {s},species
Stenaphorura denisi,species
Geholaspis sp. (juv),genus
Leptogamasus suecicus,species
Veigaia agilis,species
Vulgarogamasus kraepelini,species
Lysigamasus misellus,species
Paragamasus sp.,genus
Mesaphorura sylvatica,species
Phthiracarus laevigatus,species
Hahnia pusilla (juv),species
Lithobius crassipes,species
Lithobius curtipes (juv),species
Geophilus ribauti (juv),species
Lithobius curtipes {l},species
Xantholinus tricolor,species
Lipothrix lubbocki,species
Geophilus flavus,species
Geophilus electricus (juv),species
Carabidae sp. (juv),family+
Habrocerus capillaricornis,species
Harpactea lepida small,species
Bolitochara sp.,genus
Porcellio dilatatus,species
Berniniella bicarinata,species
Neonaphorura dubosqi,species
Entomobryidae (juv),family+
Glomeris conspersa {l},species
Pseudosinella alba,species
Lepidocyrtus curvicolis,species
Helicodonta obvoluta,species
Scydmaenidae sp1 {m},family+
Geophilus insculptus,species
Pterostichus sp.,genus
Cymberemaeus cymba,species
Hypoaspididae sp. (juv),family+
Chordeumatidae (juv) {s},family+
Zercon sp. (juv),genus
Oppiella fallax,species
Micanurida forsslundi,species
Phthiracarus cf crenophilus,species
Folsomia ksenemani,species
Abax parallelepipedus,species
Philonthus carbonarius,species
Geophilus studeri (juv),species
Centromerus cavernarum,species
Othius sp. (juv) {s},genus
Walckenaeria furcillata,species
Helicigona lapicida,species
Lumbricus terrestris (juv) {xl},species
Chordeuma silvestre,species
Hungarobelba pyrenaica,species
Maro minutus,species
Diplostyla concolor (juv),species
Phthiracarus stramineus,species
Helicodonta obvoluta (juv),species
Phyllobius callacartus,species
Cultroribula bicultrata,species
Sminthurinus niger,species
Histopona torpida,species
Isotoma hiemalis,species
Tachinus scapularis,species
Paratullbergia sp.,genus
Gamasina sp. (juv),family+
Prozercon fimbriatus (juv),species
Hypochthonius luteus,species
Glomeris conspersa {xl},species
Trogulus nepaeformis,species
Amara aenea,species
Walckenaeria antica,species
Eupelops plicatus,species
Vulgarogamasus sp. (juv),genus
Dinychus perforatus,species
Leptogamasus cf. tectegynellus,species
Lysigamasus cf rostriforceps,species
Veigaia cf mollis (juv),species
Vulgarogamasus remberti,species
Uropoda athiasae (juv),species
Micranurida sp. (juv),genus
Lithobius dentatus,species
Trechus sp. (juv),genus
Harpalus affinis,species
Sminthurinus sp. (juv),genus
Oribatella calcarata,species
Lysigamasus vagabundus,species
Zerconopsis remiger,species
Apionidae sp.,family+
Asca bicornis,species
Prozercon cf traeghardi,species
Melogona cf. voigti,species
Pilogalumna tenuiclava,species
Geotrupes spec,genus
Glomeris hexasticha,species
Glomeris sp. (juv) {xl},genus
Ptiliidae sp.,family+
Limacidae sp.,family+
Lithobius cf. dentatus (juv),species
Walckenaeria cucullata,species
Pardosa sp. (juv),genus
Cantharidae sp. (juv),family+
Linyphia hortensis,species
Thomisidae sp. (juv),family+
Arion fuscus,species
Lumbricus rubellus {xl},species
Octolasion sp. (juv),genus
Haplophthalmus mengei,species
Porcellio montanus,species
Neotullbergia ramicuspis,species
Dinychus perforatus (juv),species
Lysigamasus cornutus,species
Pachylaelaps laeuchlii,species
Mesaphorura tenuisensillata,species
Euconulus fulvus,species
Rhagonycha lignosa,species
Staphylinidae sp. (juv) {s},family+
Malthinus seriepunctatus (juv),species
Centromerus serratus,species
Ozyptila sp. (juv),genus
Coelotes sp. (juv) {xl},genus
Metellina segmentata,species
Agriotes sp. (juv),genus
Arrhophalites sp.,genus
Aporrectodea caliginosa,species
Octolasion tyrtaeum{xxl},species
Tachyusa sp. (juv),genus
Leptogamasus sp. (juv),genus
Veigaia cerva (juv),species
Hypoaspis aculeifer (juv),species
Trichoniscus pygmaeus,species
Geholaspis longispinosus,species
Berniniella dungeri,species
Damaeus onustus,species
Phthiracarus lentulus,species
Helicidae sp. (juv),family+
Pseudosinella ksenemani,species
Rhynchaeninae sp1,family+
Notiophilus biguttatus,species
Lithobius curtipes {m},species
Microlinyphia pusilla,species
Pelecopsis radicicola,species
Agriotes sp.,genus
Deuterosminthurus pallipes,species
Pulmonata sp. (juv),genus
Allosuctobelba grandis,species
Cryptopygus garretti,species
Aporrectodea caliginosa (juv) {xl},species
Lumbricus castaneus,species
Lumbricus rubellus {xxl},species
Deuteraphorura inermis,species
Trachelipus ratzeburgii,species
Epicrius sp. (juv),genus
Macrocheles cf. dentatus (juv),species
Pachylaelaps regularis,species
Pachylaelaps tesselatus,species
Veigaia sp. (juv),genus
Zercon cf gurensis,species
Belba corynopus,species
Buprestidae sp.,family+
Aegopinella nitidula (juv),species
Clausilia bidentata,species
Cochlicopa lubrica,species
Hermannia gibba,species
Scheloribates laevigatus,species
Tectocepheus velatus alatus,species
Glomeris connexa,species
Vitrea diaphana,species
Vitrea diaphana (juv),species
Luperus luperus,species
Phyllobius sp.,genus
Lithobius cf. crassipes (juv),species
Trechinae sp.,family+
Saaristoa abnormis,species
Staphylinidae sp. (juv) {l},family+
Aegopinella pura (juv),species
Desoria violacea,species
Arctoseius magnanalis,species
Pergamasus crassipes,species
Cylisticus sp.,genus
Porcellio sp.,genus
Friesea mirabilis,species
Micranurida pygmaea,species
Parasitidae (juv) {xs},family+
Prozercon fimbriatus,species
Uropodina sp. (juv),genus
Brachysomus sp.,genus
Chrysomelidae sp.,family+
Clausilia bidentata (juv),species
Lamprohiza splendidula (juv),species
Orchesella bifasciata,species
Aegopinella nitidula,species
Harpalus sp.,genus
Dendrobaena octaedra,species
Notiophilus rufipes (juv),species
Notiophilus sp.,genus
Walckenaeria atrotibialis,species
Dicymbium brevisetosum,species
Enoplognatha ovata,species
Micraphorura absoloni,species
Porcellio spinicornis,species
Oniscus asellus,species
Oppiella obsoleta,species
Parasitidae (juv) {s},family+
Liodidae sp. {l},family+
Cepea nemoralis,species
Gisianus flammeolus,species
Ceratophysella armata,species
Oncopodura crassicornis,species
Coelotes terrestris,species
Ozyptila trux,species
Scydmaenidae sp2,family+
Onychiuridae,family+
Supraphorura furcifera,species
Pachylaelaps fuscinuliger,species
Liogluta longiuscula,species
Cryptorhynchinae sp.,family+
Curculionidae sp. (juv),family+
Tectocepheus minor,species
Stenus fuscicornis,species
Phyllobius oblongus,species
Lithobius cf. aulacopus (juv),species
Cychrus attenuatus,species
Donacochara speciosa,species
