,fw_id,ecosystem.type,log_num_nodes,avg_degree,connectance,clustering_coefficient,modularity,reciprocated_edge,assort_met,assort_mov,assort_mass,deg_assort_io,deg_assort_oi,deg_assort_oo,deg_assort_ii,miss_mass_frac,high_tax_frac,unclassified_tax_frac,parasitic_removal,cannibalistic_removal,num_attr,min_log_mass,max_log_mass,mean_log_mass,median_log_mass,mass_skewness
Loon Lake,88,lakes,1.5440680443502757,3.2857,0.09663865546218488,0.234,0.168,0.017,-0.053,0.0,-0.01,-0.4289,-0.7361,0.5711,0.2011,0.029,0.114,0.114,0.0,0.026,9,-10.61798295742513,2.5224442335063197,-6.198590525097781,-6.497572880015567,0.6595319004977053
Lost Lake,89,lakes,1.4913616938342726,4.6774,0.15591397849462366,0.12,0.242,0.014,-0.184,0.0,-0.031,-0.5606,-0.5844,0.5609,0.3607,0.032,0.065,0.161,0.0,0.021,9,-11.45717457304082,2.4947110252052624,-5.9287027710745,-5.2373214362725635,0.6153631040661638
Lost Lake East,90,lakes,1.6127838567197355,3.2927,0.08231707317073171,0.073,0.411,0.0,-0.082,0.0,0.018,-0.262,-0.6802,0.8054,0.006,0.024,0.22,0.098,0.0,0.015,9,-10.590066876668706,2.5224442335063197,-7.3219819805430655,-8.0,0.47439743558806485
Lower Sister Lake,91,lakes,1.568201724066995,4.2973,0.11936936936936937,0.267,0.24,0.013,-0.143,0.0,-0.013,-0.3809,-0.6287,0.4571,0.4364,0.027,0.108,0.108,0.0,0.013,9,-10.8153085691824,2.1903316981702914,-6.087784955527316,-6.068033885271827,0.7052885493043318
Oswego Lake,92,lakes,1.5185139398778875,4.0606,0.1268939393939394,0.153,0.315,0.045,-0.082,0.0,-0.003,-0.2217,-0.6857,0.274,0.3009,0.03,0.152,0.121,0.0,0.03,9,-10.61798295742513,2.3010299956639813,-6.5360025772940835,-7.064996848546345,0.5304344158972115
Owl Lake,93,lakes,1.4771212547196624,2.3333,0.08045977011494253,0.0,0.388,0.0,0.002,0.0,-0.013,-0.1878,-0.5769,0.5331,-0.0629,0.033,0.2,0.067,0.0,0.014,9,-10.61798295742513,0.8864907251724818,-7.473908537323698,-8.137642979957224,0.5572289215513572
Rat Lake,94,lakes,1.6989700043360187,5.34,0.1089795918367347,0.29,0.281,0.052,-0.056,0.0,0.0,-0.3154,-0.32,0.3707,0.1428,0.02,0.1,0.08,0.0,0.022,9,-10.323306390375134,2.6989700043360187,-5.889785787193831,-6.883071886068319,0.7629330587973968
Razorback Lake,95,lakes,1.6232492903979006,4.1905,0.10220673635307782,0.217,0.321,0.034,-0.057,0.0,0.009,-0.2316,-0.6035,0.4938,0.2391,0.024,0.119,0.095,0.0,0.017,9,-10.61798295742513,2.45484486000851,-6.328821004436968,-7.251811972993799,0.6784975855187296
Rock Lake,96,lakes,1.3424226808222062,1.9091,0.09090909090909091,0.0,0.27,0.0,0.0,0.0,-0.019,-0.5223,-0.808,0.6345,0.7193,0.045,0.091,0.091,0.0,0.024,8,-10.323306390375134,-2.7417564900754847,-7.048907604376817,-7.475390988664909,0.7003867524036559
Russian Lake,97,lakes,1.380211241711606,2.5,0.10869565217391304,0.135,0.195,0.0,-0.211,0.0,-0.016,-0.5318,-0.8025,0.6651,0.4862,0.042,0.208,0.167,0.0,0.017,9,-10.323306390375134,1.4471580313422192,-6.205761768864342,-6.2828033826436975,0.6265852054915777
Safford Lake,98,lakes,1.6434526764861874,5.0227,0.11680761099365751,0.254,0.263,0.027,-0.114,0.0,0.019,-0.4082,-0.5743,0.4612,0.2488,0.023,0.159,0.114,0.0,0.018,9,-11.45717457304082,2.3324384599156054,-5.928313975252473,-6.2828033826436975,0.8486410421440632
Sand Lake,99,lakes,1.462397997898956,2.7241,0.09729064039408868,0.188,0.321,0.025,-0.042,0.0,0.009,-0.3753,-0.456,0.4247,0.1079,0.034,0.172,0.138,0.0,0.038,9,-10.61798295742513,2.840106094456758,-6.0040856751416545,-7.590066876668706,0.812218663588776
South Lake,100,lakes,1.3424226808222062,1.6364,0.07792207792207792,0.0,0.369,0.0,0.0,0.0,-0.009,0.0,-0.861,0.0,0.0,0.0,0.318,0.091,0.0,0.0,5,-11.45717457304082,-2.7417564900754847,-7.924525043257501,-8.557206321905172,0.6817167546645825
Squaw Lake,101,lakes,1.6127838567197355,4.0488,0.10121951219512196,0.147,0.329,0.012,-0.081,0.0,0.02,-0.3339,-0.3773,0.4227,-0.0759,0.0,0.122,0.073,0.0,0.018,6,-10.61798295742513,2.678518379040114,-6.695542165723451,-8.0,0.6491510011365027
Stink Lake,102,lakes,1.7242758696007892,5.2264,0.10050798258345428,0.192,0.331,0.022,-0.134,0.0,-0.013,-0.3246,-0.636,0.4567,0.1526,0.019,0.113,0.075,0.0,0.014,9,-10.61798295742513,2.307496037913213,-6.538827423125385,-6.497572880015567,0.6533313514576371
Twelfth Tee Lake,103,lakes,1.4913616938342726,2.5806,0.08602150537634409,0.13,0.372,0.025,-0.042,0.0,0.071,-0.2129,-0.6095,0.7307,0.0915,0.032,0.097,0.161,0.0,0.037,9,-11.45717457304082,2.6748611407378116,-6.878670457862393,-8.0,0.602288287407534
Twin Lake East,104,lakes,1.1139433523068367,1.2308,0.10256410256410256,0.0,0.389,0.0,0.0,0.0,0.026,-0.2182,-0.5729,0.4804,-0.2928,0.0,0.231,0.154,0.0,0.062,5,-11.45717457304082,-2.1694113313148558,-7.2066640778006406,-8.0,1.0912941462339085
Twin Lake West,105,lakes,1.414973347970818,2.2692,0.09076923076923077,0.0,0.351,0.0,0.0,0.0,-0.01,-0.1232,-0.436,0.1855,-0.2525,0.038,0.269,0.077,0.0,0.017,8,-10.61798295742513,-2.1694113313148558,-7.25576246330541,-7.795033438334353,0.7585247740363373
Whipple Lake,106,lakes,1.505149978319906,4.1875,0.1350806451612903,0.341,0.195,0.015,-0.065,0.0,-0.036,-0.3294,-0.2359,0.135,0.1139,0.031,0.188,0.125,0.0,0.015,9,-9.821023052706831,2.4771212547196626,-4.770768271569407,-5.198576781212697,0.7759530608392292
Wolf Lake,107,lakes,1.4313637641589874,1.5185,0.0584045584045584,0.0,0.378,0.0,0.0,0.0,0.014,-0.5903,-0.6207,0.4356,-0.0875,0.037,0.333,0.074,0.0,0.024,8,-10.61798295742513,-2.7417564900754847,-8.047335026923614,-8.410050398674292,0.6022207750435755
Weddell Sea,108,marine,2.690196080028514,32.6306,0.06672926839447435,0.26,0.274,0.049,-0.032,0.15,0.104,-0.0334,-0.1751,0.1241,0.0027,0.004,0.01,0.006,0.0,0.003,12,-13.8153085691824,7.447158031342219,-1.461974830690474,-0.19514944881030027,0.28959834830904435
Tuesday Lake 1984,109,lakes,1.6989700043360187,5.28,0.10775510204081633,0.132,0.262,0.008,-0.082,0.0,0.0,-0.5051,-0.5513,0.1753,0.0205,0.0,0.26,0.0,0.0,0.019,6,-10.518557371497694,0.11058971029924881,-7.072653034988589,-7.452240978838425,0.7541209933005764
Tuesday Lake 1986,110,lakes,1.7075701760979363,4.6275,0.09254901960784313,0.113,0.274,0.025,-0.013,0.0,-0.02,-0.2519,-0.5556,0.4811,-0.0144,0.0,0.255,0.0,0.0,0.021,6,-10.518557371497694,2.290034611362518,-7.443450892607336,-8.0,0.42426498872342366
Chilean Intertidal Curaumilla,111,marine,2.0170333392987803,12.8654,0.12490664675130694,0.114,0.163,0.001,-0.041,-0.13,-0.011,-0.3591,-0.056,0.2409,-0.2049,0.5,0.212,0.019,0.0,0.001,8,-5.0,2.6989700043360187,-2.1333908757929487,-1.6989700043360187,0.6445165828459767
Chilean Intertidal El Quisco,112,marine,2.0043213737826426,13.3168,0.13316831683168318,0.113,0.168,0.001,-0.036,-0.129,-0.013,-0.3652,-0.0667,0.2217,-0.2072,0.475,0.218,0.02,0.0,0.001,8,-5.0,2.6989700043360187,-2.260422908025099,-1.889410289700751,0.6307361343945641
Chilean Intertidal Las Cruces,113,marine,2.0211892990699383,12.9048,0.12408424908424909,0.113,0.163,0.001,-0.043,-0.127,-0.005,-0.3573,-0.0739,0.2531,-0.1714,0.495,0.2,0.019,0.0,0.001,8,-5.0,2.6989700043360187,-2.089629230161298,-1.6989700043360187,0.6461784473829246
Chilean Intertidal Los Molles,114,marine,2.0211892990699383,12.8571,0.12362637362637363,0.113,0.162,0.001,-0.043,-0.128,-0.005,-0.3578,-0.0734,0.2564,-0.1676,0.495,0.21,0.019,0.0,0.001,8,-5.0,2.6989700043360187,-2.076696517332722,-1.6989700043360187,0.646178560607601
Chesapeake Bay,115,marine,2.782472624166286,25.8729,0.04276518560947004,0.371,0.324,0.204,-0.034,0.05,0.065,0.3725,-0.4396,0.5247,-0.112,0.018,0.081,0.025,0.0,0.004,15,-10.899629454882437,5.301029995663981,-1.609687406098054,-1.4612359898862488,0.3380337617833909
Carpinteria,116,terrestrial aboveground,2.1702617153949575,8.0473,0.054743519029233315,0.108,0.343,0.0,0.015,-0.022,-0.107,-0.4219,-0.3412,-0.2718,-0.278,0.128,0.122,0.128,0.694,0.002,13,-7.274905478918531,3.778151250383644,-1.2498946204842218,-0.4605035745381618,1.0491434828525257
Scottish Lake,117,lakes,1.7075701760979363,6.6667,0.13333333333333333,0.293,0.075,0.059,-0.038,-0.043,0.007,-0.234,-0.0091,0.082,-0.3066,0.588,0.373,0.0,0.0,0.021,8,-9.248143760407599,1.9020599913347362,-5.644617331705276,-7.929079206781836,0.46908334904344345
Afon Hafren 2005,118,streams,1.3424226808222062,4.6818,0.22294372294372294,0.109,0.095,0.019,-0.094,-0.094,0.01,-0.2941,0.5019,0.3464,-0.5785,0.091,0.136,0.091,0.0,0.058,10,-9.739928612014925,0.1474534696761977,-5.948053929993819,-4.299553215952807,0.6568272946695783
Allt a Mharcaidh,119,streams,1.568201724066995,6.9459,0.19294294294294295,0.093,0.144,0.008,-0.068,-0.068,-0.013,-0.2865,0.2514,0.3246,-0.4521,0.054,0.189,0.054,0.0,0.039,10,-9.991399828238082,0.7663065221553806,-5.476504742983446,-3.6965965678677266,0.5005620114622028
Broadstone Stream,120,streams,1.3617278360175928,4.3043,0.1956521739130435,0.459,0.239,0.162,-0.102,-0.102,0.023,-0.1134,-0.4598,0.2335,0.3752,0.087,0.261,0.174,0.0,0.081,10,-9.51999305704285,0.07933374855767525,-5.235188104818778,-3.8490747858957786,0.6439921398851971
Dargall Lane,121,streams,1.3010299956639813,3.3,0.1736842105263158,0.125,0.191,0.03,-0.112,-0.112,-0.004,-0.4271,-0.2419,0.2559,-0.4686,0.1,0.15,0.1,0.0,0.091,10,-9.447331783887806,0.6761793357463644,-5.6146045997662135,-3.659014856101839,0.6885459179681649
Duddon Pike Beck,122,streams,1.4913616938342726,5.9032,0.1967741935483871,0.182,0.187,0.055,-0.069,-0.069,0.02,-0.0877,0.2218,0.0967,-0.4474,0.065,0.323,0.065,0.0,0.044,10,-9.504455662453552,0.9947096414962584,-5.362106356598414,-3.681604807136856,0.5491171450096998
Hardknott Gill,123,streams,1.6232492903979006,8.9286,0.21777003484320556,0.298,0.085,0.021,-0.057,-0.057,-0.009,-0.2926,-0.2165,0.2836,0.1507,0.048,0.262,0.048,0.0,0.019,10,-9.7281583934635,0.5276505671266455,-5.063937364848057,-3.6236056722025025,0.470784832457698
Mill Stream,124,streams,1.9138138523837167,17.5,0.21604938271604937,0.29,0.061,0.006,-0.115,-0.11,-0.004,-0.2496,-0.1462,0.2901,0.0964,0.024,0.159,0.024,0.0,0.006,10,-11.471083299722345,4.239424618007431,-4.86887673803912,-3.4605726653590585,0.41148884917545636
Mosendale Beck,125,streams,1.3222192947339193,3.8095,0.19047619047619047,0.246,0.179,0.075,-0.083,-0.083,0.048,-0.2129,0.232,0.0697,-0.535,0.095,0.238,0.095,0.0,0.062,10,-9.500312917381596,1.9336475591997504,-5.810506431484142,-3.96724428474963,0.6708592056310811
Old Lodge,126,streams,1.3222192947339193,3.9048,0.19523809523809524,0.188,0.111,0.073,-0.071,-0.071,-0.037,-0.3818,0.2408,0.2445,-0.5362,0.095,0.143,0.095,0.0,0.061,10,-9.515700160653214,0.977893531403672,-6.368860653838755,-8.08039897621589,0.6713163741924303
Alert,127,terrestrial aboveground,1.2041199826559248,2.25,0.15,0.021,0.213,0.0,0.0,0.058,0.055,-0.6018,-0.2121,0.5535,0.2466,0.25,0.25,0.5,0.0,0.0,9,-2.6989700043360187,5.3692158574101425,1.352579923704221,2.238515021650464,1.2332019192123802
Bylot,128,terrestrial aboveground,1.2041199826559248,2.0,0.13333333333333333,0.066,0.188,0.0,0.0,0.084,-0.055,-0.7381,-0.2085,-0.6856,-0.154,0.25,0.25,0.5,0.0,0.0,9,-2.6989700043360187,3.5185139398778875,0.9343844510848865,2.0370760308490903,1.6973109348537634
Herschel,129,terrestrial aboveground,1.3617278360175928,2.3913,0.10869565217391304,0.07,0.265,0.0,0.0,-0.001,0.039,-0.5355,-0.1779,-0.1164,-0.2465,0.217,0.174,0.391,0.0,0.0,9,-2.6989700043360187,5.3692158574101425,1.5774975426400815,2.4742162640762553,1.147566325352112
Nenetsky,130,terrestrial aboveground,1.380211241711606,2.9583,0.1286231884057971,0.034,0.213,0.0,0.0,0.013,0.07,-0.6752,-0.1199,-0.0875,0.0473,0.208,0.208,0.375,0.0,0.0,9,-2.6989700043360187,5.273001272063738,1.5884342415873594,2.6824304001857513,0.9245111544824604
Svalbard,131,terrestrial aboveground,1.1139433523068367,1.6154,0.1346153846153846,0.0,0.217,0.0,0.0,0.0,0.016,-0.4724,-0.366,0.5544,-0.2194,0.385,0.154,0.692,0.0,0.0,9,-2.6989700043360187,4.685884987381299,0.33670113818389946,1.5333907080175513,0.9969832550174601
Yamal,132,terrestrial aboveground,1.3424226808222062,2.9091,0.13852813852813853,0.008,0.202,0.0,0.0,0.009,0.044,-0.6821,-0.0963,-0.0306,0.1023,0.227,0.227,0.409,0.0,0.0,9,-2.6989700043360187,5.0,1.3270969388432838,2.359640777880337,0.8067250489257095
Zackenberg,133,terrestrial aboveground,1.2304489213782739,2.1765,0.13602941176470587,0.061,0.259,0.0,0.0,0.017,-0.079,-0.4222,-0.3355,0.3214,-0.0155,0.294,0.176,0.529,0.0,0.0,9,-2.6989700043360187,5.278903673365242,0.8709963399822466,1.8720979742742268,0.7895643363561875
Gearagh,134,terrestrial belowground,2.0644579892269186,3.1293,0.027211394302848576,0.138,0.321,0.0,0.0,0.0,0.128,-0.2564,-0.3022,-0.023,0.27,0.121,0.526,0.043,0.044,0.011,11,-4.8326826652518236,0.9145507590248836,-2.7272637449786283,-2.736104527017403,0.5364660890560626
Dutch Microfauna food web PlotA,135,terrestrial belowground,1.9822712330395684,8.7812,0.09243421052631579,0.209,0.208,0.021,0.0,0.287,0.028,-0.1139,-0.4071,0.2339,0.0034,0.01,0.625,0.042,0.002,0.0,8,-12.995678626217357,-0.330000000266665,-6.315972827067516,-6.625286450439126,0.42262934387666173
Dutch Microfauna food web PlotB,136,terrestrial belowground,1.9822712330395684,5.6875,0.05986842105263158,0.162,0.223,0.004,0.0,0.404,0.039,-0.1709,-0.6838,0.3894,0.049,0.01,0.635,0.042,0.077,0.002,8,-12.920818753952375,-0.330000000266665,-6.362746054997689,-6.7747984569223165,0.5131052562954381
Dutch Microfauna food web PlotC,137,terrestrial belowground,2.0043213737826426,8.9208,0.0892079207920792,0.263,0.175,0.033,0.0,0.247,0.054,-0.0819,-0.495,0.1913,-0.0119,0.01,0.614,0.04,0.001,0.0,8,-12.98296666070122,-0.330000000266665,-6.089401605583849,-6.349692476868063,0.5005118142801683
Bure Stream,138,streams,1.9777236052888478,20.2842,0.21578947368421053,0.419,0.093,0.031,-0.05,-0.038,0.021,-0.1547,-0.2802,0.175,0.2416,0.0,0.053,0.084,0.0,0.006,8,-9.281498311132726,1.5110532135438783,-4.990120192300695,-3.9257615408262465,0.4250065050741218
Loddon Stream,139,streams,2.0211892990699383,24.2095,0.2327838827838828,0.397,0.069,0.011,-0.066,-0.053,0.009,-0.3779,-0.3193,0.361,0.2706,0.0,0.057,0.114,0.0,0.004,8,-9.327902142064282,2.1156660083007566,-4.769966128731286,-3.8403636379459956,0.43364133104084296
Lyde Stream,140,streams,2.041392685158225,18.4545,0.16930775646371976,0.301,0.1,0.017,-0.049,-0.03,-0.006,-0.191,-0.0377,0.2022,-0.1853,0.0,0.045,0.082,0.0,0.005,9,-9.327902142064282,1.3669503608792724,-5.467430703485819,-4.901981029632738,0.34645870053336186
Test Stream,141,streams,2.08278537031645,26.2149,0.2184573002754821,0.4,0.069,0.014,-0.096,-0.077,0.007,-0.3673,-0.3988,0.3635,0.3328,0.0,0.05,0.099,0.003,0.005,8,-9.327902142064282,2.9386608969191985,-4.605451907334038,-3.8403636379459956,0.3368577081019049
Wensum Stream,142,streams,2.103803720955957,27.4567,0.21791026121734783,0.414,0.083,0.017,-0.077,-0.058,0.009,-0.294,-0.3072,0.2983,0.231,0.0,0.079,0.087,0.0,0.005,9,-9.327902142064282,2.2442674840591925,-4.72945305964743,-3.925428558837501,0.40924170530067716
Lake Malawi,143,lakes,1.4313637641589874,5.1111,0.19658119658119658,0.415,0.149,0.0,-0.019,0.027,-0.023,-0.4169,-0.4131,0.4648,0.3023,0.185,0.0,1.0,0.0,0.029,11,-8.0,4.698970004336019,2.138350526844523,2.4654537497382707,0.9960999685912436
Iceland stream IS7 April 2009,144,streams,1.4771212547196624,5.6333,0.19425287356321838,0.129,0.035,0.0,0.0,-0.003,-0.012,-0.6251,0.5868,0.6198,-0.5753,0.2,0.133,0.2,0.0,0.0,12,-10.899629454882437,-1.7511529392651652,-7.597141387809661,-9.296563919469328,0.6343875683781133
Iceland stream IS7 August 2008,145,streams,1.7708520116421442,10.5254,0.18147282291057862,0.064,0.015,0.0,0.0,0.012,0.016,-0.4384,0.7465,0.4416,-0.7082,0.085,0.119,0.085,0.0,0.0,12,-10.950781977329818,-2.8696137976329377,-8.093668401527747,-9.429457060118102,0.8963328462971807
Iceland stream IS8  April 2009,146,streams,1.568201724066995,5.8378,0.16216216216216217,0.006,0.018,0.0,-0.041,-0.02,0.01,-0.6844,0.9206,0.7406,-0.9467,0.162,0.081,0.162,0.0,0.0,13,-11.032920265855504,1.1205291597173144,-8.320610524147245,-9.79317412396815,0.5001024012732859
Iceland stream IS8 August 2008,147,streams,1.6334684555795866,6.0233,0.1434108527131783,0.007,0.044,0.0,-0.038,0.01,0.023,-0.785,0.9289,0.8244,-0.8735,0.14,0.163,0.14,0.0,0.004,13,-10.899629454882437,0.8245540493594253,-8.101405759784722,-9.367542707815275,0.4632523638428884
Caribbean Reef,148,marine,2.392696953259666,13.3603,0.0543102597017873,0.156,0.232,0.005,0.144,0.101,0.041,-0.0934,-0.506,0.2061,0.1069,0.004,0.0,0.162,0.0,0.003,12,-10.0,5.827369273053825,2.464851973231181,2.683947130751512,0.7453228328769029
FloridaIslandE1,149,terrestrial aboveground,2.322219294733919,12.4381,0.059512417407154246,0.218,0.249,0.025,-0.043,-0.03,0.062,-0.0855,-0.3515,0.3202,0.1453,0.01,0.438,0.029,0.359,0.004,13,-8.423658649794207,3.5440680443502757,-2.2355576112988116,-2.259637310505756,0.31133249328907303
FloridaIslandE2,150,terrestrial aboveground,1.7708520116421442,4.678,0.08065458796025717,0.201,0.279,0.022,-0.152,-0.084,0.041,-0.1584,-0.4888,0.3191,0.1496,0.017,0.39,0.051,0.072,0.007,13,-8.423658649794207,3.5440680443502757,-1.848051464218304,-2.1870866433571443,0.5943874604728674
FloridaIslandE3,151,terrestrial aboveground,2.3242824552976926,13.237,0.06303317535545024,0.231,0.228,0.029,-0.04,-0.035,0.056,-0.083,-0.3496,0.3081,0.156,0.009,0.441,0.028,0.31,0.004,13,-8.423658649794207,3.5440680443502757,-2.2363407277217204,-2.2596373105057563,0.31058583834217035
FloridaIslandE7,152,terrestrial aboveground,1.7323937598229686,5.1667,0.09748427672955975,0.27,0.27,0.014,-0.108,-0.117,-0.011,-0.2253,-0.4409,0.4131,0.2002,0.019,0.37,0.056,0.068,0.011,12,-6.085656842880559,3.5440680443502757,-1.5805015672519582,-2.1788914352630595,0.6224043950708129
FloridaIslandE9,153,terrestrial aboveground,1.7481880270062005,5.3571,0.09740259740259741,0.285,0.251,0.013,-0.094,-0.131,0.016,-0.1876,-0.4515,0.3719,0.1839,0.018,0.321,0.054,0.197,0.007,12,-6.085656842880559,3.5440680443502757,-1.6417543284453398,-2.048455006504028,0.6105930771073536
Lough Hyne,154,marine,2.5390760987927767,14.5636,0.04221328642037363,0.112,0.314,0.005,-0.061,0.068,0.048,-0.1401,-0.3925,0.2402,0.024,0.006,0.014,0.017,0.0,0.003,13,-20.167491087293765,6.6020599913279625,-0.9519346519035385,-1.0101260625508306,0.18839877803635108
Blackrock Stream,155,streams,1.9444826721501687,4.2614,0.04898119122257053,0.04,0.217,0.0,-0.05,-0.006,0.025,-0.2255,-0.2153,-0.0164,-0.0438,0.557,0.455,0.057,0.0,0.0,11,-9.978810700930062,2.3010299956639813,-5.464220440168528,-4.426872398350349,0.32366207938377894
Broad Stream,156,streams,1.9822712330395684,5.875,0.06184210526315789,0.004,0.187,0.0,-0.025,-0.002,-0.003,-0.0901,0.0293,0.0188,-0.3786,0.552,0.406,0.073,0.0,0.002,11,-10.03905380426617,2.6648299411430907,-5.654278302395724,-4.5997514366732375,0.30842016496314567
Canton Creek,157,streams,2.0453229787866576,6.3694,0.057903357903357905,0.016,0.19,0.0,-0.013,0.001,-0.01,-0.0733,-0.0977,0.0124,-0.2533,0.505,0.468,0.054,0.0,0.001,11,-10.03905380426617,2.1760912590556813,-5.275118697145088,-4.206209615309182,0.2896716871817801
Dempsters Stream,158,streams,2.0453229787866576,8.6937,0.07903357903357904,0.065,0.187,0.0,-0.076,-0.004,-0.033,-0.1669,0.0799,0.1383,-0.2317,0.441,0.423,0.054,0.0,0.001,11,-10.886056647693163,1.6989700043360187,-4.783654581307622,-3.840977520118789,0.5721690837307809
German Creek,159,streams,1.9395192526186185,4.046,0.047046244319700614,0.039,0.288,0.0,-0.096,-0.012,-0.051,-0.2442,-0.2853,-0.0043,0.1878,0.552,0.471,0.046,0.0,0.003,11,-9.978810700930062,2.8020892578817325,-5.421546190317006,-4.54515513999149,0.33431890755618715
Healy Creek,160,streams,2.0,6.34,0.06404040404040404,0.054,0.201,0.0,-0.052,-0.017,-0.015,-0.1077,-0.1228,0.0886,-0.169,0.47,0.43,0.07,0.0,0.0,11,-10.886056647693163,1.534026106056135,-4.945462632338877,-4.097731976147111,0.43854528981667
Kye Burn,161,streams,2.0086001717619175,6.1667,0.06105610561056106,0.041,0.182,0.0,-0.035,0.002,-0.028,-0.1278,-0.1776,0.0526,0.0097,0.569,0.431,0.088,0.0,0.0,11,-9.978810700930062,2.320146286111054,-5.411882672427653,-4.642198864359036,0.3005886273768235
Little Kye Burn,162,streams,1.9030899869919435,4.6375,0.05870253164556962,0.02,0.269,0.0,-0.102,-0.016,-0.016,-0.1965,-0.1178,0.0672,-0.0628,0.5,0.438,0.062,0.0,0.0,11,-10.886056647693163,1.6989700043360187,-4.898443559999739,-3.935952305816368,0.5487817189450978
Stony Stream,163,streams,2.0569048513364727,7.2807,0.06443098897686694,0.015,0.157,0.0,-0.029,-0.01,-0.012,-0.0859,-0.0896,-0.0108,-0.2474,0.553,0.456,0.079,0.0,0.002,11,-10.03905380426617,1.3979400086720377,-5.422336646425393,-4.644079520329231,0.3043832766672011
Sutton Stream,164,streams,1.9444826721501687,4.8068,0.05525078369905956,0.001,0.146,0.0,-0.042,-0.025,0.017,-0.214,-0.1556,0.1627,-0.2486,0.648,0.33,0.034,0.0,0.0,11,-9.55709284581144,2.504171714775967,-5.992715613956884,-7.67666279683701,0.3230814876621676
AP1,165,marine,1.1139433523068367,1.1538,0.09615384615384616,0.079,0.373,0.0,0.0,0.0,-0.006,-0.202,-0.2686,-0.2809,0.1964,0.0,0.308,0.231,0.0,0.133,7,-4.0,0.8965262174895553,-1.8407050035967407,-2.0,0.9375508436112953
AP2,166,marine,1.255272505103306,2.0556,0.12091503267973856,0.258,0.348,0.0,0.0,0.045,0.087,-0.1853,-0.3201,-0.0119,0.4118,0.0,0.333,0.167,0.0,0.081,7,-4.0,1.0755469613925308,-1.8016164029404043,-2.0,1.1885477971124272
AP3,167,marine,1.255272505103306,2.7222,0.16013071895424835,0.283,0.214,0.0,-0.103,-0.2,0.051,-0.3134,-0.6082,0.1029,0.6524,0.0,0.222,0.222,0.0,0.061,8,-4.0,0.9804578922761,-1.8987853610373446,-2.0,0.9980607666339693
AP4,168,marine,1.0791812460476249,1.75,0.1590909090909091,0.318,0.249,0.095,-0.147,-0.179,0.029,-0.2006,-0.5571,0.0481,0.1019,0.0,0.167,0.417,0.0,0.143,8,-4.0,0.8155777483242672,-1.8476524708354798,-2.0,1.4341693314284756
BP1,169,marine,1.4471580313422192,3.1786,0.11772486772486772,0.053,0.213,0.0,0.004,-0.157,-0.012,-0.0731,0.3194,-0.0714,-0.31,0.0,0.357,0.107,0.0,0.022,8,-4.0,1.0561422620590524,-2.2078144961293975,-2.0,1.0117190824863342
BP2,170,marine,1.255272505103306,1.8333,0.10784313725490197,0.042,0.352,0.0,0.0,-0.111,-0.083,-0.0833,-0.6376,-0.0833,-0.6376,0.0,0.278,0.167,0.0,0.091,7,-4.0,-0.6197887582883939,-2.8753505545713756,-3.321032576499773,0.8989492179626729
BP3,171,marine,1.3424226808222062,2.0909,0.09956709956709957,0.027,0.366,0.0,0.0,-0.11,-0.001,-0.0382,-0.2663,-0.0625,-0.5842,0.0,0.227,0.227,0.0,0.065,7,-4.0,0.8208579894396999,-2.279028967755855,-2.0,0.7665998341125398
CGP1,172,marine,1.255272505103306,1.3333,0.0784313725490196,0.061,0.322,0.0,0.0,-0.048,-0.172,-0.1886,-0.5451,-0.2556,0.3859,0.0,0.389,0.167,0.0,0.125,7,-4.0,0.9513375187959177,-1.9172875468354686,-2.0,0.778881752568883
CGP2,173,marine,1.255272505103306,1.6667,0.09803921568627451,0.125,0.289,0.0,0.0,-0.159,-0.043,-0.2671,-0.8174,0.1014,0.5935,0.0,0.278,0.167,0.0,0.133,7,-4.0,1.6384892569546374,-1.612769592513117,-2.0,1.0408363465692616
CGP3,174,marine,1.4913616938342726,3.1935,0.1064516129032258,0.189,0.269,0.04,-0.094,-0.211,0.009,-0.2695,-0.3322,0.2352,0.1369,0.0,0.161,0.194,0.0,0.04,8,-4.0,3.7573960287930244,-1.0399345785041274,-0.5228787452803376,0.5644830124141941
CR1P1,175,marine,1.7993405494535817,8.0159,0.12928827444956478,0.309,0.136,0.008,-0.084,-0.076,0.08,-0.1639,-0.321,0.1184,0.2991,0.0,0.302,0.095,0.0,0.026,8,-4.0,1.6720978579357175,-1.6655898670669012,-1.958607314841775,0.6914662753957761
CR1P2,176,marine,1.7781512503836436,7.8833,0.13361581920903956,0.285,0.176,0.017,-0.057,-0.069,0.069,-0.1347,-0.3438,0.121,0.3961,0.0,0.283,0.1,0.0,0.03,8,-4.0,1.5481436374348454,-1.769322403933989,-2.0,0.7784773681691092
CR1P3,177,marine,1.6232492903979006,6.5476,0.15969802555168408,0.293,0.123,0.007,-0.099,-0.118,0.015,-0.2578,-0.4521,0.2393,0.4017,0.0,0.31,0.167,0.0,0.033,8,-4.0,1.3550682063488506,-2.259738533970871,-2.8699643060074624,0.744385045829199
CR1P4,178,marine,1.6020599913279625,6.075,0.15576923076923077,0.214,0.116,0.0,-0.08,-0.083,0.036,-0.0826,-0.3335,0.007,0.3532,0.0,0.275,0.125,0.0,0.029,8,-4.0,1.611617110554336,-2.3567014112246563,-2.6883753548010496,0.5628197191171141
