net_id,struc_roc_mean,attr_roc_mean,full_roc_mean,struc_pr_mean,attr_pr_mean,full_pr_mean
88,0.9501694641051566,0.8542018200202225,0.9744808897876643,0.5117005020787887,0.2561459785080542,0.7246883768343829
89,0.9586681309027016,0.8786171754886887,0.9726905337140348,0.6984555039079826,0.27889024154907865,0.7901226275594984
90,0.9606442721791559,0.872697920511874,0.9688509905254092,0.720024129750114,0.4580844777226817,0.8256934280600632
91,0.9632759776421087,0.8602018879080384,0.975221791381349,0.5984220689009967,0.2730585240136937,0.7169903111708342
92,0.9701092323760436,0.8858980539023923,0.9786497209707621,0.7622372260038597,0.2869638343819858,0.8421544877887571
93,0.9645589285714286,0.885244642857143,0.9589874999999999,0.6892889049899387,0.2647624740473621,0.6976010445598981
94,0.9751616663033357,0.8926505622987875,0.9769977972856131,0.7003112568273898,0.28245780723544606,0.7608683956489847
95,0.9577993285283064,0.8788159305119201,0.9755090248259718,0.612931837539292,0.24465188944737393,0.7160475672088984
96,0.8773306878306879,0.775183201058201,0.9041997354497354,0.35062594339115144,0.291001307291304,0.4734110230995312
97,0.9124661246612467,0.8957418699186992,0.9530081300813009,0.432180430763637,0.48807182093284734,0.7022237416737498
98,0.9751622750545552,0.8995382853066876,0.9829610527779288,0.7153420071745331,0.30924283216191206,0.8053092757194296
99,0.9151905411550706,0.8253523192360163,0.9627589813551614,0.48081551770670405,0.16534329519043417,0.5885452260488775
100,0.9694961435278335,0.8756245808182429,0.9567605633802817,0.8587621920632849,0.33185019651024134,0.7325119945552804
101,0.9629351661720567,0.8958713844486852,0.976045828223975,0.7173005675406652,0.19893284586697718,0.7832377098011589
102,0.9803686944358587,0.899843315014957,0.9900812618200678,0.8279260049845701,0.23084089715194075,0.8923216411055612
103,0.9418794117647058,0.8725676470588235,0.9523191176470588,0.5898654019080253,0.31897426585546135,0.6416109790124775
104,0.8727738095238096,0.7915952380952381,0.8408333333333333,0.4888387547080965,0.13702815164827994,0.37145066381337344
